
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-03 14:45:38 /api/plots ......................................................................... ~ 516.53ms
  2026-04-03 14:45:38 /api/community ....................................................................... ~ 0.06ms
  2026-04-03 14:45:38 /api/plots ......................................................................... ~ 502.91ms
  2026-04-03 14:45:39 /api/community ..................................................................... ~ 510.47ms
  2026-04-03 14:45:52 /api/plots ......................................................................... ~ 500.51ms
  2026-04-03 14:45:52 /api/inventory ..................................................................... ~ 505.88ms
  2026-04-03 14:45:52 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:45:53 /api/inventory ..................................................................... ~ 509.09ms
  2026-04-03 14:47:14 /api/plots ......................................................................... ~ 500.73ms
  2026-04-03 14:47:14 /api/plots ......................................................................... ~ 496.18ms
